date,account,category,amount,currency,converted amount,currency,description
10/01/2024,Bank account,Clothes,-600,INR,-600,INR,Jersey
10/01/2024,Bank account,Transport,-100,INR,-100,INR,Train ticket 
10/01/2024,Bank account,House,-788,INR,-788,INR,Maintenance+ water bill
10/01/2024,Bank account,Car,-50,INR,-50,INR,Parking 
10/01/2024,Bank account,Toiletry,-540,INR,-540,INR,Bath and body works perfume
10/01/2024,Bank account,Transport,-100,INR,-100,INR,Train ticket 
10/01/2024,Bank account,Friends,350,INR,350,INR,Rayan
11/01/2024,Bank account,Food,-40,INR,-40,INR,Chapati
11/01/2024,Bank account,Car,-20,INR,-20,INR,Parking 
12/01/2024,Bank account,Food,-110,INR,-110,INR,Soup+chapati 
13/01/2024,Bank account,Food,-140,INR,-140,INR,Dinner
13/01/2024,Bank account,Food,-80,INR,-80,INR,Soup
14/01/2024,Bank account,Bills,-59,INR,-59,INR,Spotify premium
14/01/2024,Bank account,College works,"-3,500",INR,"-3,500",INR,Course
15/01/2024,Bank account,Car,"-1,180",INR,"-1,180",INR,Wheel alignment + rotation 
15/01/2024,Bank account,Food,-615,INR,-615,INR,Dinner
15/01/2024,Bank account,Car,-500,INR,-500,INR,Petrol
15/01/2024,Bank account,Friends ,-150,INR,-150,INR,Sourav
15/01/2024,Bank account,Food,-140,INR,-140,INR,Food
17/01/2024,Bank account,Food,-40,INR,-40,INR,Snacks
17/01/2024,Bank account,Food,-120,INR,-120,INR,Biriyani 
18/01/2024,Bank account,House,-35,INR,-35,INR,Brush
18/01/2024,Bank account,Entertainment,-280,INR,-280,INR,Bowling
18/01/2024,Bank account,Transport,-290,INR,-290,INR,Taxi 
18/01/2024,Bank account,Food,-700,INR,-700,INR,Dinner
18/01/2024,Bank account,Petrol,-300,INR,-300,INR,Cab 
19/01/2024,Bank account,Food,-360,INR,-360,INR,Brunch
19/01/2024,Bank account,Transport,-120,INR,-120,INR,Train ticket
19/01/2024,Bank account,Transport,-90,INR,-90,INR,Auto
19/01/2024,Bank account,Transport,-40,INR,-40,INR,Metro
19/01/2024,Bank account,Food,-15,INR,-15,INR,Water
